### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| BLUEBIRDUSDT  | 0.001314      | 0.0008929   | 0.09732      | 0.03544         | 58.77         | 0.009648     | 0.01196     | 0.07792                 | 0.0427         | 311.5   | 1297211.49869 |
| BATUSDT       | 0.00131       | 0.001409    | 0.115        | 0.05055         | 75.4          | 0.01961      | 0.02192     | 0.1476                  | 0.05858        | 1305.66 | 1297211.49869 |
| THETAUSDT     | 0.00131       | 0.002147    | 0.1038       | 0.05263         | 53.77         | 0.01375      | 0.02047     | 0.1467                  | 0.03018        | 1201.66 | 1297211.49869 |
| DGBUSDT       | 0.001307      | 0.002095    | 0.1379       | 0.07154         | 62.0          | 0.01799      | 0.02287     | 0.1449                  | 0.03064        | 871.85  | 1297211.49869 |
| CELRUSDT      | 0.001299      | 0.002613    | 0.09434      | 0.04159         | 40.23         | 0.01413      | 0.0174      | 0.1129                  | 0.02585        | 894.71  | 1297211.4987  |
| HFTUSDT       | 0.001287      | 0.001268    | 0.1147       | 0.03434         | 40.8          | 0.01325      | 0.01172     | 0.05932                 | 0.02172        | 156.5   | 1297211.49871 |
| KAVAUSDT      | 0.00126       | 0.001139    | 0.0767       | 0.03338         | 46.88         | 0.01755      | 0.01931     | 0.1157                  | 0.05155        | 1139.7  | 1297211.49874 |
| CHZUSDT       | 0.001264      | 0.002307    | 0.07149      | 0.03379         | 54.82         | 0.01133      | 0.01596     | 0.09854                 | 0.04036        | 961.71  | 1297211.49874 |
| TRUUSDT       | 0.001257      | 0.001547    | 0.1401       | 0.07349         | 84.9          | 0.01939      | 0.01885     | 0.1137                  | 0.08479        | 186.5   | 1297211.49874 |
| WOOUSDT       | 0.001255      | 0.001528    | 0.0695       | 0.02853         | 51.05         | 0.01115      | 0.02036     | 0.1437                  | 0.01242        | 519.85  | 1297211.49875 |
| RLCUSDT       | 0.001249      | 0.001649    | 0.07973      | 0.03742         | 49.27         | 0.01877      | 0.02199     | 0.1415                  | 0.0377         | 1136.71 | 1297211.49875 |
| LTCUSDT       | 0.001255      | 0.001111    | 0.09148      | 0.02987         | 49.85         | 0.01365      | 0.01663     | 0.1092                  | 0.03195        | 1340.66 | 1297211.49875 |
| ICPUSDT       | 0.001252      | 0.00114     | 0.1395       | 0.07963         | 52.03         | 0.01851      | 0.02555     | 0.1331                  | 0.06241        | 347.89  | 1297211.49875 |
| AMBUSDT       | 0.001235      | 0.001237    | 0.03546      | 0.001274        | 41.42         | 0.01476      | 0.01189     | 0.05265                 | 0.0524         | 163.5   | 1297211.49877 |
| RVNUSDT       | 0.001229      | 0.001751    | 0.1021       | 0.05267         | 65.87         | 0.01171      | 0.02064     | 0.1453                  | 0.02305        | 928.71  | 1297211.49877 |
| FILUSDT       | 0.001227      | 0.001293    | 0.09957      | 0.05013         | 59.43         | 0.01896      | 0.02298     | 0.1319                  | 0.06591        | 1059.75 | 1297211.49877 |
| GALUSDT       | 0.001222      | 0.002115    | 0.132        | 0.08393         | 52.7          | 0.01638      | 0.01884     | 0.1057                  | 0.07709        | 492.41  | 1297211.49878 |
| HOOKUSDT      | 0.001224      | 0.001441    | 0.08001      | 0.04839         | 43.18         | 0.01592      | 0.01996     | 0.1177                  | 0.08499        | 229.87  | 1297211.49878 |
| XRPUSDT       | 0.001221      | 0.00161     | 0.07975      | 0.02977         | 49.9          | 0.01032      | 0.0106      | 0.06344                 | 0.01754        | 1343.65 | 1297211.49878 |
| VETUSDT       | 0.001214      | 0.001292    | 0.09401      | 0.04132         | 64.03         | 0.01878      | 0.02301     | 0.1463                  | 0.06265        | 1304.66 | 1297211.49879 |
| MINAUSDT      | 0.001201      | 0.001315    | 0.08413      | 0.0332          | 40.33         | 0.007867     | 0.007644    | 0.04091                 | 0.004764       | 214.54  | 1297211.4988  |
