### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| OCEANUSDT     | 0.001165      | 0.001944    | 0.08433      | 0.02042         | 120.9         | 0.01784      | 0.01844     | 0.1145                  | 0.02604        | 1040.67 | 1297211.49883 |
| ENJUSDT       | 0.001141      | 0.002596    | 0.1043       | 0.06644         | 108.0         | 0.01435      | 0.02398     | 0.143                   | 0.03677        | 1076.67 | 1297211.49886 |
| 1INCHUSDT     | 0.00114       | 0.002006    | 0.06398      | 0.03195         | 141.7         | 0.015        | 0.02005     | 0.1399                  | 0.01005        | 988.54  | 1297211.49886 |
| CHRUSDT       | 0.00113       | 0.002473    | 0.08423      | 0.03003         | 100.4         | 0.01326      | 0.01547     | 0.1037                  | 0.06011        | 911.67  | 1297211.49887 |
| FXSUSDT       | 0.001123      | 0.001481    | 0.09467      | 0.05046         | 90.97         | 0.01788      | 0.02096     | 0.1296                  | 0.07157        | 232.83  | 1297211.49888 |
| OGNUSDT       | 0.001118      | 0.002       | 0.04669      | 0.0279          | 52.58         | 0.01033      | 0.02465     | 0.1478                  | 0.06425        | 891.67  | 1297211.49888 |
| XVSUSDT       | 0.001101      | 0.0007833   | 0.07014      | 0.01556         | 80.72         | 0.01635      | 0.01404     | 0.08823                 | 0.06994        | 149.88  | 1297211.4989  |
| THETAUSDT     | 0.001104      | 0.002687    | 0.08307      | 0.04154         | 81.68         | 0.01158      | 0.016       | 0.1296                  | 0.01897        | 1201.62 | 1297211.4989  |
| BANDUSDT      | 0.00108       | 0.002328    | 0.05958      | 0.01906         | 111.5         | 0.01684      | 0.01723     | 0.1235                  | 0.009906       | 1138.67 | 1297211.49892 |
| SANDUSDT      | 0.00108       | 0.002645    | 0.07099      | 0.03576         | 86.85         | 0.01215      | 0.01654     | 0.1264                  | 0.02089        | 957.67  | 1297211.49892 |
| SFPUSDT       | 0.001077      | 0.002516    | 0.05942      | 0.0375          | 135.4         | 0.01465      | 0.02037     | 0.1294                  | 0.01964        | 927.67  | 1297211.49892 |
| RADUSDT       | 0.001067      | 0.001285    | 0.07984      | 0.01531         | 58.88         | 0.01067      | 0.01133     | 0.09662                 | 0.03895        | 122.46  | 1297211.49893 |
| HOOKUSDT      | 0.001074      | 0.001369    | 0.1189       | 0.07577         | 104.1         | 0.01986      | 0.02607     | 0.1447                  | 0.05733        | 229.83  | 1297211.49893 |
