### single symbol backtest metrics ###

update: 2023-12-07

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
| OCEANUSDT     | 0.0009235     | 0.001654    | 0.05735      | 0.02199         | 0.0156       | 0.01671     | 128.4         | 0.09076                 | 0.0            | 0.08027                  | 0.249        | 1128.67 | 276499999.999 |
| BLZUSDT       | 0.0007795     | 0.0008778   | 0.0423       | 0.005475        | 0.01928      | 0.01721     | 116.1         | 0.09981                 | 0.0            | 0.06418                  | 0.1934       | 1175.67 | 276499999.999 |
| SANDUSDT      | 0.0006222     | 0.001231    | 0.03266      | 0.008486        | 0.01439      | 0.01236     | 143.1         | 0.06158                 | 0.0            | 0.04212                  | 0.185        | 1045.67 | 276499999.999 |
| AVAXUSDT      | 0.0006357     | 0.001464    | 0.05011      | 0.01572         | 0.0133       | 0.01507     | 124.5         | 0.09857                 | 0.0            | 0.08404                  | 0.2371       | 1169.67 | 276499999.999 |
| DODOXUSDT     | 0.001382      | 0.001551    | 0.04011      | 0.0             | 0.009597     | 0.007694    | 44.97         | 0.03588                 | 0.0            | 0.01215                  | 0.02248      | 120.46  | 276499999.999 |
| ONEUSDT       | 0.0005028     | 0.001297    | 0.04391      | 0.006679        | 0.01596      | 0.01318     | 136.0         | 0.07075                 | 0.0            | 0.04047                  | 0.182        | 993.67  | 276499999.999 |
| LINAUSDT      | 0.0006429     | 0.001269    | 0.03296      | 0.01467         | 0.01559      | 0.01335     | 72.13         | 0.06119                 | 0.0            | 0.05144                  | 0.2392       | 992.67  | 276499999.999 |
| PHBUSDT       | 0.0009357     | 0.0008362   | 0.06095      | 0.02609         | 0.01727      | 0.01445     | 142.6         | 0.07721                 | 0.0            | 0.05857                  | 0.09528      | 293.38  | 276499999.999 |
| 1000FLOKIUSDT | 0.001493      | 0.00105     | 0.07868      | 0.01289         | 0.01646      | 0.01048     | 131.3         | 0.05149                 | 0.0            | 0.02999                  | 0.08312      | 213.29  | 276499999.999 |
| DOGEUSDT      | 0.000981      | 0.002687    | 0.04703      | 0.01296         | 0.007889     | 0.008912    | 137.9         | 0.07067                 | 0.0            | 0.0644                   | 0.1526       | 1244.58 | 276499999.999 |
| HIGHUSDT      | 0.0006851     | 0.0008499   | 0.04772      | 0.01301         | 0.01569      | 0.01227     | 97.28         | 0.06555                 | 0.0            | 0.04815                  | 0.1038       | 302.88  | 276499999.999 |
| IMXUSDT       | 0.0007483     | 0.0007394   | 0.03272      | 0.008786        | 0.01708      | 0.01328     | 110.5         | 0.06167                 | 0.0            | 0.03446                  | 0.1037       | 663.83  | 276499999.999 |
| 1INCHUSDT     | 0.000631      | 0.001178    | 0.03105      | 0.01106         | 0.01259      | 0.01226     | 124.4         | 0.05344                 | 0.0            | 0.04059                  | 0.2291       | 1075.54 | 276499999.999 |
| XLMUSDT       | 0.0005453     | 0.001802    | 0.01814      | 0.002506        | 0.007763     | 0.006982    | 109.2         | 0.03255                 | 0.0            | 0.01388                  | 0.1267       | 1416.62 | 276499999.999 |
| JOEUSDT       | 0.0005897     | 0.0005146   | 0.04824      | 0.006469        | 0.01754      | 0.01367     | 130.9         | 0.06946                 | 0.0            | 0.04943                  | 0.07787      | 252.46  | 276499999.999 |
| BICOUSDT      | 0.001141      | 0.001376    | 0.02452      | 0.0002994       | 0.008958     | 0.006406    | 35.07         | 0.02626                 | 0.0            | 0.003732                 | 0.007215     | 69.46   | 276499999.999 |
| LITUSDT       | 0.0007122     | 0.001052    | 0.0224       | 0.004869        | 0.015        | 0.01237     | 138.0         | 0.05406                 | 0.0            | 0.02121                  | 0.1571       | 1021.67 | 276499999.999 |
| MATICUSDT     | 0.001323      | 0.003555    | 0.05231      | 0.02697         | 0.01118      | 0.01443     | 121.0         | 0.09679                 | 0.0            | 0.08751                  | 0.2215       | 1140.67 | 276499999.999 |
| LDOUSDT       | 0.0009425     | 0.001118    | 0.05786      | 0.006109        | 0.0131       | 0.0113      | 93.12         | 0.08837                 | 0.0            | 0.07023                  | 0.2303       | 440.46  | 276499999.999 |
| RLCUSDT       | 0.001013      | 0.002546    | 0.0516       | 0.02482         | 0.01416      | 0.01394     | 117.1         | 0.08875                 | 0.0            | 0.08095                  | 0.1967       | 1223.67 | 276499999.999 |
| XVSUSDT       | 0.001455      | 0.0009247   | 0.05733      | 0.01263         | 0.01525      | 0.01222     | 85.75         | 0.08306                 | 0.0            | 0.07098                  | 0.1245       | 237.88  | 276499999.999 |
| OXTUSDT       | 0.0007        | 0.001177    | 0.07784      | 0.03121         | 0.01359      | 0.01047     | 89.57         | 0.06122                 | 0.0            | 0.0561                   | 0.0758       | 117.46  | 276499999.999 |
| SXPUSDT       | 0.000625      | 0.002477    | 0.03513      | 0.01142         | 0.01508      | 0.013       | 143.1         | 0.05926                 | 0.0            | 0.04183                  | 0.1147       | 1233.58 | 276499999.999 |
| AGLDUSDT      | 0.001175      | 0.0009682   | 0.06293      | 0.01348         | 0.02081      | 0.01341     | 74.03         | 0.07159                 | 0.0            | 0.06298                  | 0.07872      | 130.88  | 276499999.999 |
| ANKRUSDT      | 0.0007947     | 0.00119     | 0.03225      | 0.01349         | 0.01345      | 0.01242     | 132.1         | 0.05925                 | 0.0            | 0.04464                  | 0.2475       | 1044.67 | 276499999.999 |
| PENDLEUSDT    | 0.001265      | 0.000917    | 0.0331       | 0.00243         | 0.01459      | 0.01058     | 88.67         | 0.04786                 | 0.0            | 0.009558                 | 0.02365      | 131.88  | 276499999.999 |
| CHZUSDT       | 0.0006739     | 0.001337    | 0.01178      | 0.001782        | 0.01475      | 0.01212     | 142.9         | 0.05492                 | 0.0            | 0.0175                   | 0.1455       | 1049.67 | 276499999.999 |
| KEYUSDT       | 0.001119      | 0.001226    | 0.03595      | 0.006166        | 0.01245      | 0.01033     | 131.7         | 0.05759                 | 0.0            | 0.03428                  | 0.1485       | 196.46  | 276499999.999 |
| GALAUSDT      | 0.0009784     | 0.001575    | 0.03652      | 0.008087        | 0.007941     | 0.009242    | 80.15         | 0.06054                 | 0.0            | 0.05142                  | 0.1412       | 809.83  | 276499999.999 |
| MAGICUSDT     | 0.0008963     | 0.0009516   | 0.06031      | 0.003916        | 0.01766      | 0.01636     | 101.6         | 0.09201                 | 0.0            | 0.0527                   | 0.06372      | 315.83  | 276499999.999 |
| RUNEUSDT      | 0.00091       | 0.002219    | 0.05655      | 0.02379         | 0.01281      | 0.01373     | 124.2         | 0.09264                 | 0.0            | 0.08353                  | 0.2137       | 1188.67 | 276499999.999 |
| CFXUSDT       | 0.0005284     | 0.0005634   | 0.04281      | 0.02233         | 0.01621      | 0.01214     | 130.9         | 0.06423                 | 0.0            | 0.06098                  | 0.09608      | 289.38  | 276499999.999 |
| DOTUSDT       | 0.0006731     | 0.001659    | 0.05794      | 0.02335         | 0.01039      | 0.009723    | 108.2         | 0.07229                 | 0.0            | 0.0668                   | 0.2487       | 1201.67 | 276499999.999 |
| HIFIUSDT      | 0.001157      | 0.002226    | 0.08571      | 0.02849         | 0.01054      | 0.009159    | 54.58         | 0.07148                 | 0.0            | 0.06689                  | 0.08129      | 81.38   | 276499999.999 |
| INJUSDT       | 0.001339      | 0.0007486   | 0.02678      | 0.0005764       | 0.01649      | 0.01215     | 140.1         | 0.04802                 | 0.0            | 0.01595                  | 0.05471      | 476.88  | 276499999.999 |
| ALGOUSDT      | 0.0006866     | 0.00137     | 0.04708      | 0.01111         | 0.01429      | 0.01196     | 130.9         | 0.06709                 | 0.0            | 0.05652                  | 0.1652       | 1268.58 | 276499999.999 |
| RADUSDT       | 0.001348      | 0.0009135   | 0.03385      | 0.007379        | 0.009598     | 0.008985    | 105.1         | 0.05243                 | 0.0            | 0.03843                  | 0.09578      | 210.46  | 276499999.999 |
